,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
0,36.0,16.0,22.5,7.0,8.0,203507 - 101141 - 203545 - 2557 - 203489,"Antetokounmpo,Giannis - Ilyasova,Ersan - Raduljica,Miroslav - Ridnour,Luke - Wolters,Nate",40.0,41.0
1,74.0,12.0,43.0,6.0,14.0,2406 - 101141 - 201564 - 2585 - 2557,"Butler,Caron - Ilyasova,Ersan - Mayo,O.J. - Pachulia,Zaza - Ridnour,Luke",47.5,40.5
2,36.0,4.0,19.6,5.0,3.0,203507 - 2406 - 202688 - 203114 - 202327,"Antetokounmpo,Giannis - Butler,Caron - Knight,Brandon - Middleton,Khris - Udoh,Ekpe",46.0,48.0
3,30.0,6.0,17.2,4.0,4.0,2406 - 201564 - 2585 - 2557 - 202327,"Butler,Caron - Mayo,O.J. - Pachulia,Zaza - Ridnour,Luke - Udoh,Ekpe",35.0,26.0
4,19.0,6.0,13.8,2.0,4.0,203507 - 202390 - 2585 - 2557 - 202327,"Antetokounmpo,Giannis - Neal,Gary - Pachulia,Zaza - Ridnour,Luke - Udoh,Ekpe",20.0,26.0
5,360.0,73.5,205.5,51.0,58.5,101141 - 202688 - 203114 - 2585 - 203489,"Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",28.3,27.3
6,103.2,11.2,54.8,19.2,17.2,101141 - 202688 - 203114 - 202336 - 203489,"Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Sanders,Larry - Wolters,Nate",26.1,22.8
7,142.8,18.0,81.6,19.2,28.8,203089 - 202688 - 203114 - 2585 - 203489,"Henson,John - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Wolters,Nate",31.0,30.7
8,51.0,10.0,27.0,12.0,6.0,201564 - 203114 - 2585 - 202327 - 203489,"Mayo,O.J. - Middleton,Khris - Pachulia,Zaza - Udoh,Ekpe - Wolters,Nate",23.0,20.0
9,24.0,3.0,13.1,4.0,3.0,203089 - 202688 - 203114 - 202390 - 202327,"Henson,John - Knight,Brandon - Middleton,Khris - Neal,Gary - Udoh,Ekpe",22.0,25.0
10,22.0,4.0,13.0,3.0,3.0,2406 - 101141 - 201564 - 202390 - 202336,"Butler,Caron - Ilyasova,Ersan - Mayo,O.J. - Neal,Gary - Sanders,Larry",26.0,10.0
11,324.0,87.0,192.0,49.5,57.0,202399 - 202688 - 203114 - 2585 - 201196,"Adrien,Jeff - Knight,Brandon - Middleton,Khris - Pachulia,Zaza - Sessions,Ramon",28.3,24.6
12,24.0,6.0,12.3,3.0,3.0,201564 - 203114 - 2557 - 202327 - 203489,"Mayo,O.J. - Middleton,Khris - Ridnour,Luke - Udoh,Ekpe - Wolters,Nate",20.0,34.0
13,220.0,38.5,133.1,27.5,40.7,203507 - 101141 - 202688 - 2557 - 202336,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Ridnour,Luke - Sanders,Larry",22.4,22.6
