,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
0,934.8,250.1,541.2,123.0,155.8,203507 - 203487 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Parker,Jabari",29.3,27.7
1,42.0,5.0,23.6,5.0,7.0,203507 - 202328 - 203948 - 203953 - 1626173,"Antetokounmpo,Giannis - Monroe,Greg - O'Bryant III,Johnny - Parker,Jabari - Vaughn,Rashad",22.0,24.5
2,243.6,42.0,133.2,34.8,42.0,203507 - 201564 - 203114 - 203953 - 203101,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Parker,Jabari - Plumlee,Miles",24.0,23.8
3,488.7,140.4,288.9,43.2,59.4,203507 - 201573 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Bayless,Jerryd - Middleton,Khris - Monroe,Greg - Parker,Jabari",23.6,23.3
4,17.0,2.0,10.4,2.0,2.0,203507 - 201573 - 203089 - 203953 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Parker,Jabari - Vasquez,Greivis",25.0,18.0
5,16.0,4.0,9.3,4.0,2.0,203507 - 203996 - 202328 - 203953 - 1626173,"Antetokounmpo,Giannis - Inglis,Damien - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",22.0,15.0
6,34.0,3.0,18.6,5.0,7.0,203099 - 203898 - 203089 - 203953 - 203101,"Cunningham,Jared - Ennis,Tyler - Henson,John - Parker,Jabari - Plumlee,Miles",21.0,16.5
7,18.0,1.0,9.1,2.0,4.0,203898 - 203089 - 203953 - 203101 - 1626173,"Ennis,Tyler - Henson,John - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",20.0,25.0
8,112.0,35.7,60.9,16.8,21.0,203507 - 203114 - 202328 - 203953 - 1626173,"Antetokounmpo,Giannis - Middleton,Khris - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",20.3,22.3
9,29.0,6.0,17.2,3.0,3.0,203507 - 201573 - 202328 - 203953 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Monroe,Greg - Parker,Jabari - Vasquez,Greivis",13.5,18.0
10,16.0,2.0,8.6,2.0,2.0,201573 - 201564 - 203948 - 203101 - 1626173,"Bayless,Jerryd - Mayo,O.J. - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",16.0,25.0
11,15.0,5.0,8.5,2.0,2.0,203507 - 203898 - 201564 - 203114 - 202328,"Antetokounmpo,Giannis - Ennis,Tyler - Mayo,O.J. - Middleton,Khris - Monroe,Greg",23.0,15.0
12,26.0,7.0,16.4,3.0,4.0,203507 - 203898 - 203948 - 203953 - 203101,"Antetokounmpo,Giannis - Ennis,Tyler - O'Bryant III,Johnny - Parker,Jabari - Plumlee,Miles",14.0,15.5
13,241.4,66.3,134.3,27.2,44.2,203507 - 201564 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Monroe,Greg - Parker,Jabari",16.0,18.3
14,14.0,6.0,7.9,5.0,1.0,203507 - 201564 - 203948 - 203101 - 1626173,"Antetokounmpo,Giannis - Mayo,O.J. - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",13.0,17.0
