player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,pass_total
708,14792,Kevin Garnett,N,Kevin,83,Garnett,Forward,Active,21,1610612750,Timberwolves,240,299.0,7.0,35.0,1.0,0.0,209.0,7.0,1.0,0.0,43.0,142.0,1.0,22.0,0.0,0.0,103.0,1.0,1.0,0.0,14.0,306.0,143.0,0.445,1.6,0.4,0.1,5.6,1.0,0.8,47.0,20.3,1.0,2.3,1.3,6.6,1.0,1.0,1.26,0.62,3.71,4.39,4.05,0.63,0.74,1.37,1.25,5.89,2.77,1.87,0.79,0.52,2.81,1.74,0.55,0.23,1634.19
977,13966,Kobe Bryant,N,Kobe,78,Bryant,Forward-Guard,Active,19,1610612747,Lakers,212,529.0,184.0,58.0,4.0,35.0,316.0,173.0,38.0,11.0,66.0,212.0,54.0,22.0,2.0,30.0,88.0,49.0,30.0,5.0,32.0,713.0,266.0,0.195,5.6,0.2,0.8,4.9,6.9,5.6,35.0,34.5,0.7,1.9,5.1,5.7,1.3,3.7,0.94,0.57,3.53,4.1,3.83,0.98,1.21,2.2,1.18,8.86,1.97,5.71,4.14,0.57,4.17,1.26,2.34,1.63,1313.9
1495,14816,Tim Duncan,N,Tim,83,Duncan,Center-Forward,Active,19,1610612759,Spurs,250,812.0,7.0,242.0,11.0,13.0,375.0,6.0,21.0,1.0,93.0,417.0,2.0,176.0,8.0,9.0,137.0,2.0,9.0,0.0,46.0,819.0,419.0,0.158,3.0,2.0,0.9,6.9,4.0,3.0,77.0,28.9,2.2,2.1,3.1,9.1,0.8,1.7,2.21,1.7,3.51,4.04,3.77,0.83,0.99,1.82,3.06,12.95,6.51,3.38,0.83,1.19,5.71,3.3,1.22,0.27,3326.4
1713,14540,Vince Carter,N,Vince,78,Carter,Guard-Forward,Active,18,1610612763,Grizzlies,220,174.0,232.0,25.0,1.0,19.0,88.0,227.0,19.0,5.0,7.0,66.0,69.0,5.0,1.0,11.0,26.0,68.0,6.0,1.0,5.0,406.0,135.0,0.49,1.2,0.2,0.2,1.6,0.9,0.7,66.0,16.5,0.4,1.5,1.1,2.0,0.7,0.7,0.32,0.24,3.59,4.36,3.97,0.49,0.6,1.1,0.68,4.78,1.05,3.05,2.19,0.38,2.03,0.48,1.17,0.86,1190.64
1717,14031,Dirk Nowitzki,N,Dirk,84,Nowitzki,Forward,Active,18,1610612742,Mavericks,245,788.0,274.0,39.0,11.0,24.0,607.0,271.0,10.0,3.0,92.0,383.0,104.0,25.0,6.0,18.0,283.0,103.0,6.0,1.0,43.0,1062.0,487.0,0.559,1.9,0.4,0.3,5.4,3.8,3.3,77.0,29.6,0.6,2.1,3.9,5.9,0.5,1.1,1.57,0.36,3.39,4.06,3.72,0.85,0.99,1.84,2.21,11.35,4.32,4.82,2.57,0.78,5.62,2.81,2.03,1.1,2776.62
1718,14280,Paul Pierce,N,Paul,79,Pierce,Forward,Active,18,1610612746,Clippers,235,353.0,303.0,78.0,9.0,38.0,178.0,294.0,20.0,9.0,21.0,175.0,118.0,38.0,7.0,31.0,63.0,110.0,14.0,8.0,15.0,656.0,293.0,0.47,2.0,0.3,0.4,3.4,2.9,2.2,73.0,26.2,0.6,2.2,2.3,4.0,0.6,1.3,0.51,0.32,3.46,4.11,3.78,0.78,0.87,1.65,1.49,8.89,2.04,5.36,3.38,0.55,3.63,1.16,1.92,1.15,1557.82
1737,14318,Nazr Mohammed,N,Nazr,82,Mohammed,Center,Active,18,1610612760,Thunder,250,30.0,0.0,10.0,1.0,1.0,16.0,0.0,0.0,0.0,1.0,13.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,13.0,0.276,0.1,0.2,0.1,1.2,0.1,0.0,23.0,5.6,0.5,0.7,0.1,1.7,0.2,0.3,0.39,0.35,3.6,4.04,3.81,0.16,0.19,0.35,1.12,3.29,1.41,0.76,0.24,0.29,1.35,0.82,0.24,0.06,146.08
1882,13766,Elton Brand,N,Elton,81,Brand,Forward,Active,17,1610612755,76ers,254,94.0,1.0,14.0,1.0,1.0,74.0,1.0,0.0,0.0,4.0,42.0,0.0,11.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,95.0,42.0,0.602,0.6,0.7,0.1,2.0,0.6,0.3,36.0,13.5,0.8,1.5,1.0,2.8,0.5,0.5,0.55,0.58,3.67,4.2,3.95,0.41,0.48,0.89,1.47,5.35,2.76,1.12,0.41,0.62,2.35,1.32,0.41,0.09,635.4
1889,14853,Andre Miller,N,Andre,75,Miller,Guard,Active,17,1610612759,Spurs,200,256.0,34.0,75.0,4.0,29.0,118.0,34.0,10.0,0.0,16.0,138.0,7.0,44.0,3.0,23.0,47.0,7.0,8.0,0.0,11.0,290.0,145.0,0.09,3.5,0.1,0.4,1.4,1.0,0.7,81.0,15.5,0.5,1.3,1.1,1.9,0.4,1.3,0.22,0.24,3.49,4.32,3.91,0.44,0.57,1.01,0.67,5.38,0.92,3.79,2.42,0.21,2.13,0.6,1.32,0.86,2553.12
1890,14074,Shawn Marion,N,Shawn,79,Marion,Guard-Forward,Active,15,1610612739,Cavaliers,228,221.0,46.0,85.0,0.0,8.0,58.0,46.0,29.0,0.0,17.0,107.0,12.0,54.0,0.0,5.0,10.0,12.0,15.0,0.0,8.0,267.0,119.0,0.191,0.9,0.5,0.4,2.4,0.6,0.5,57.0,19.3,1.1,1.0,0.5,3.5,0.5,0.6,0.51,0.74,3.88,4.25,4.07,0.61,0.7,1.31,1.07,5.98,1.49,3.42,2.18,0.39,2.31,0.85,1.07,0.65,1102.08
